customer_id,first_name,last_name,email
1,John,Doe,johndoe@email.com
2,Jane,Smith,janesmith@email.com
3,Bob,Johnson,bobjohnson@email.com
4,Alice,Brown,alicebrown@email.com
5,Charlie,Davis,charliedavis@email.com
6,Eva,Fisher,evafisher@email.com
7,George,Harris,georgeharris@email.com
8,Ivy,Jones,ivyjones@email.com
9,Kevin,Miller,kevinmiller@email.com
10,Lily,Nelson,lilynelson@email.com
11,Oliver,Patterson,oliverpatterson@email.com
12,Quinn,Roberts,quinnroberts@email.com
13,Sophia,Thomas,sophiathomas@email.com
